title, weekend_rev, weekend_rev_mean
Conan the Barbarian,9603139,6883
George of the Jungle,16540791,6600
Cop Land,13510482,6050
Event Horizon,9511915,4115
Spawn,19738749,7783
Air Bud,4878632,2717
Picture Perfect,7809026,4574
Career Girls,93303,11662
Conspiracy Theory,19313566,6882
Desperate Measures,5833412,2972
Steel,870068,690
Hoodlum,8162768,4040
Leave it to Beaver,3252450,1730
Mimic,7818208,3467
Money Talks,10654369,5313
Excess Baggage,6309583,2853
Kull the Conqueror,3450145,1649
Air Force One,37132505,12720
Seven Years in Tibet,10020378,4764
Kiss the Girls,13215167,5819
Soul Food,11197897,8381
Wishmaster,6038516,2413
Fire Down Below,6073094,2599
Chasing Amy,52446,17482
Alive and Kicking,12201,1109
Mrs Brown,76268,12711
I Know What You Did Last Summer,15818645,6267
RocketMan,4472937,2436
Playing God,1937374,1309
Washington Square,14352,14352
Telling Lies In America,11470,5735
Gattaca,4320202,3377
Phantoms,3065951,1649
Swept from the Sea,163289,2969
Wonderland,91798,18359
Hurricane Streets,231500,2489
Switchback,2704568,2397
Gang Related,2443237,1939
Stripes,6130197,5707
Bean,2255233,9319
Hugo Pool,6305,1576
Mad City,4649742,2119
One Night Stand,978819,2404
Welcome to Sarajevo,66920,13384
Deceiver,279103,1323
Boogie Nights,50168,25084
Witness,4539990,5182
Starship Troopers,22058773,7424
Critical Care,43380,4338
Chairman of the Board,181233,925
Sliding Doors,834817,7135
Red Corner,7403362,3299
Anastasia,120541,120541
Amistad,4573523,14203
Artemisia,32941,8235
Bent,109243,9103
Deconstructing Harry,356476,35647
Flubber,26725207,10119
For Richer or Poorer,6015970,3159
Good Will Hunting,272912,38987
Guy,2132,2132
Home Alone 3,5085482,2368
Ill Gotten Gains,4401,550
Midnight in the Garden of Good and Evil,5233658,6351
MouseHunt,6062922,2817
Scream 2,32926342,12364
Titanic,28638131,10710
Tomorrow Never Dies,25143007,8957
Twisted,8904299,3294
Jackie Brown,9292248,6783
Kundun,72095,36048
Afterglow,50052,7150
Great Expectations,9593290,5138
Caught Up,2422631,3398
Firestorm,3849308,1890
Senseless,5337651,2896
Wag the Dog,92079,30693
Dark City,5576953,3180
Star Kid,2958768,2842
Hard Rain,8009024,3801
Half Baked,7722540,4540
Fallen,10401586,4249
